ID_pemesanan;nama_pengguna;email;nama_hotel;kota;check_in;check_out;durasi_inap;jumlah_kamar;harga_per_malam;total_biaya;metode_pembayaran;wallet_address;status_transaksi;timestamp_pemesanan
373d8fda-153c-46a3-8715-00b772d47f6e;T. Marsito Yuliarti, M.M.;pranowowahyu@gmail.com;Imara Hotel Palembang ;Palembang;07/04/2025;10/04/2025;3;3;362742;3264678;Crypto;0x47347dd4ec51898ef0e1c81b7672cf3cf2b98957;Pending;16/11/2024 15:48
0ccb27ba-e27e-4de4-9f29-b02919b326db;Zulfa Siregar, S.Sos;wgunarto@hotmail.com;RedDoorz near Sultan Mahmud Badaruddin Airport Palembang ;Palembang;08/05/2025;12/05/2025;4;3;620554;7446648;Crypto;0x46d8dcef336bd9388ac406a4091ef835b48a4dab;Pending;19/10/2024 10:44
c4708bd6-156c-4d50-9676-a42f3855b592;Cut Ifa Prasetya, S.IP;dasa10@ud.go.id;OYO 448 Hotel Central ;Palembang;27/07/2024;29/07/2024;2;2;1317854;5271416;Transfer Bank;;Cancelled;24/07/2024 04:58
9a9e711b-28d6-49cb-85dc-26e04ea3abb7;Murti Yuniar;tampubolonbalamantri@pt.go.id;RedDoorz near Palembang Trade Center ;Palembang;29/05/2025;31/05/2025;2;1;1305049;2610098;QRIS;;Pending;14/07/2024 17:42
8dc2aa0f-85e5-409f-9cdb-a243da0bfda0;Tania Adriansyah;kamilanapitupulu@ud.desa.id;RedDoorz near Palembang Trade Center ;Palembang;29/08/2024;30/08/2024;1;1;640104;640104;Crypto;0x6c50ae3b050726312a4d1fb7a89636bf4226fd96;Cancelled;10/07/2024 16:39
3956a089-fd52-4530-ba2e-300dde3a03d4;H. Latif Siregar;wijayadarmaji@gmail.com;SPOT ON 2353 Wisma Hulubalang ;Palembang;23/07/2024;26/07/2024;3;3;1270479;11434311;Transfer Bank;;Cancelled;10/07/2024 22:26
f9190f3c-96c1-484c-9f90-3b50feaae0aa;Ami Sudiati;ifirgantoro@gmail.com;Opi Indah Hotel ;Palembang;08/04/2025;10/04/2025;2;2;1096866;4387464;Crypto;0xd03146487a9114de49e26c2e3f3d82c0540fd51f;Pending;26/02/2025 07:30
dd376115-6f21-47e0-baaa-6efec66e4bd1;Almira Adriansyah;ksihombing@yahoo.com;Sintesa Peninsula Hotel Palembang ;Palembang;08/05/2025;12/05/2025;4;3;1318286;15819432;Crypto;0x616bf929b632711fe04fe21490d7d9d349e48706;Cancelled;13/12/2024 17:14
e9d7469b-fc82-4f12-ab72-6fedf272201d;R.A. Usyi Firgantoro, M.Kom.;toktaviani@gmail.com;Super OYO Collection O 166 Hotel Princess ;Palembang;01/03/2025;02/03/2025;1;2;903262;1806524;QRIS;;Pending;12/07/2024 21:03
28b97fb9-329a-4f95-948b-1a52020ed30c;R. Bella Prakasa;dimazadriansyah@pt.co.id;Super OYO 1868 Penginapan Sekip ;Palembang;29/10/2024;30/10/2024;1;2;1408162;2816324;QRIS;;Cancelled;02/08/2024 23:44
f3c033d3-45f4-4bbf-8171-fd62a735e2f6;Kemal Hutagalung;makara88@gmail.com;OYO 247 Wisma Merdeka Syariah ;Palembang;18/12/2024;21/12/2024;3;1;454514;1363542;QRIS;;Paid;13/09/2024 02:56
